"","No..x","Name","Yr.x","Pos.x","g.x","ab","r","h","Doubles","Triples","hr","rbi","bb","k","sb","cs","avg","obp","slg","No..y","Yr.y","Pos.y","g.y","hbp","sf","sh","tb","xbh","hdp","go","fo","go/fo","pa","School","Singles","OPS","wOBA","wRAA","wSB","fOWar","wRC","Year","Position"
"163",18,"Andrew  Kauf","Jr.","IF",30,104,13,37,5,1,1,23,8,"11",4,1,".356",0.395,0.452,18,"Jr.","IF",30,0,2,1,47,7,"4","28","26","1.08",115,"Wesleyan",30,0.847,0.37625,1.80523255813954,-0.2688,0.401928584691083,29.9323158914729,"Junior","Infield"
"164",34,"Chase  Pratt","Jr.","C",27,83,16,21,4,5,2,14,9,"17",2,0,".253",0.354,0.494,34,"Jr.","C",27,4,0,2,41,11,"2","19","24","0.79",98,"Wesleyan",10,0.848,0.369934375,1.05858042635659,-0.00480000000000003,0.323386758459825,24.8886075096899,"Junior","Catcher"
"165",6,"Jonny  Corning","Jr.","IF",30,80,18,19,5,0,1,13,11,"7",1,0,".237",0.337,0.338,6,"Jr.","IF",30,1,0,3,27,6,"-","24","26","0.92",95,"Wesleyan",0,0.675,0.18606847826087,-12.5143368722615,-0.0112,-0.700514236945724,6.65945117121672,"Junior","Infield"
"166",9,"Ryan  Earle","Sr.","IF/RHP",26,59,9,17,7,1,0,10,14,"14",0,0,".288",0.427,0.441,9,"Sr.","IF/RHP",26,1,1,0,26,8,"2","11","18","0.61",75,"Wesleyan",0,0.868,0.283284,-4.22767441860464,-0.264,-0.149077426542264,12.5486255813954,"Senior","Infield"
"167",2,"Tanner  Fulkerson","Jr.","IF / OF",27,47,5,13,0,0,1,10,4,"9",4,1,".277",0.34,0.34,2,"Jr.","IF / OF",27,1,1,1,16,1,"-","15","10","1.50",54,"Wesleyan",0,0.68,0.107581132075472,-10.3989293549803,0.312,-0.620279143336845,-0.452944449319875,"Junior","Infield"
"168",12,"Jesse  Levy-Rubinett","Jr.","IF",19,37,3,7,2,0,0,3,5,"11",1,1,".189",0.279,0.243,12,"Jr.","IF",19,0,1,1,9,2,"1","7","14","0.50",44,"Wesleyan",0,0.522,0.1425,-7.28217054263566,-0.288,-0.456849092512649,1.16736434108527,"Junior","Infield"
"169",23,"Nick  Valicenti","Sr.","C",15,35,10,6,3,0,0,6,13,"8",0,1,".171",0.408,0.257,23,"Sr.","C",15,1,0,1,9,3,"1","11","10","1.10",50,"Wesleyan",0,0.665,0.282220408163265,-2.85967410219902,-0.6464,-0.137680197270386,8.31257079576017,"Senior","Catcher"
"170",27,"Nolan  Webb","Jr.","RHP",22,30,2,7,0,0,0,3,2,"8",2,1,".233",0.281,0.233,27,"Jr.","RHP",22,0,0,0,7,0,"-","10","3","3.33",32,"Wesleyan",0,0.514,0.04434375,-7.73100775193798,-0.0352,-0.501462656083182,-2.29200775193798,"Junior","Designated Hitter"
"171",36,"Wes  Fritch","Fr.","1B",14,27,1,8,2,0,0,4,0,"3",0,0,".296",0.296,0.37,36,"Fr.","1B",14,0,0,0,10,2,"2","13","3","4.33",27,"Wesleyan",0,0.666,0.0955555555555556,-5.45116279069767,0,-0.340655897507311,-0.551162790697673,"First-Year","Infield"
"172",15,"Jamie  Mills","Fr.","",14,23,10,7,1,1,0,5,5,"7",1,0,".304",0.467,0.435,15,"Fr.","",14,2,0,2,10,2,"-","8","1","8.00",32,"Wesleyan",0,0.902,0.26187,-2.33500775193798,0.0768,-0.0891872069813861,4.66883224806202,"First-Year","Outfield"
"173",7,"AJ  Garcia","Fr.","IF",4,6,1,1,0,0,0,0,1,"1",1,1,".167",0.286,0.167,7,"Fr.","IF",4,0,0,0,1,0,"1","2","2","1.00",7,"Wesleyan",0,0.453,0.101357142857143,-1.38178294573643,-0.2176,-0.102249222485262,-0.102282945736434,"First-Year","Infield"
"174",17,"Jack  Scher","Fr.","OF",3,4,0,0,0,0,0,0,1,"1",0,0,".000",0.333,0,17,"Fr.","OF",3,1,0,0,0,0,"-","2","1","2.00",6,"Wesleyan",0,0.333,0.2408,-0.535813953488372,-0.0352,-0.0277705055006266,0.748986046511628,"First-Year","Outfield"
"175",30,"Ben  Owen","So.","C / IF",3,3,0,1,0,0,0,0,1,"1",0,0,".333",0.5,0.333,30,"So.","C / IF",3,0,0,0,1,0,"-","-","-","-",4,"Wesleyan",0,0.833,0.177375,-0.553875968992248,-0.0176,-0.0327951074594996,0.245624031007752,"Sophomore","Infield"
"176",31,"Kyle  Sylvester","Fr.","",2,2,0,0,0,0,0,0,0,"1",0,0,".000",0,0,31,"Fr.","",2,0,0,0,0,0,"-","1","-","-",2,"Wesleyan",0,0,0,-0.551937984496124,0,-0.0363227034303486,-0.231937984496124,"First-Year","Infield"
"177",29,"Tommy  Alpert","So.","IF",2,1,1,0,0,0,0,1,2,"-",0,0,".000",0.667,0,29,"So.","IF",2,0,0,0,0,0,"-","-","-","-",3,"Wesleyan",0,0.667,0.473,0.272093023255814,-0.0352,0.0252165436568723,1.07109302325581,"Sophomore","Infield"
"178",33,"Spencer  Nastala","Fr.","",2,0,1,0,0,0,0,0,0,"-",0,0,"-",0,0,33,"Fr.","",2,0,0,0,0,0,"-","-","-","-",0,"Wesleyan",0,0,NA,NA,0,NA,NA,"First-Year","Catcher"
"179",9,"Eric Pappas","So.","IF",34,139,39,57,2,2,0,22,18,"12",6,1,".410",0.482,0.453,9,"So.","IF",34,4,3,2,63,4,"-","34","36","0.94",166,"Williams",0,0.935,0.130415853658537,-29.0286575912271,0.4128,-1.72773385163875,2.39817899413878,"Sophomore","Infield"
"180",6,"Erik Mini","So.","OF",33,131,29,37,10,4,3,27,16,"25",8,0,".282",0.36,0.489,6,"So.","OF",33,1,2,0,64,17,"4","34","34","1.00",150,"Williams",20,0.849,0.370832,1.7246511627907,0.9488,0.574360116975352,38.2294511627907,"Sophomore","Outfield"
"181",5,"Doug Schaffer","Sr.","IF",34,131,23,54,12,6,0,47,10,"19",4,5,".412",0.457,0.595,5,"Sr.","IF",34,5,5,0,78,18,"1","27","30","0.90",151,"Williams",0,1.052,0.235360927152318,-14.1213178294574,-1.464,-0.789819198811679,18.0281821705426,"Senior","Infield"
"182",22,"Mike Stamas","Jr.","UTL",30,118,23,33,3,1,0,8,7,"14",6,3,".280",0.341,0.322,22,"Jr.","UTL",30,5,2,0,38,4,"4","40","29","1.38",132,"Williams",0,0.663,0.106522727272727,-25.5279069767442,-0.2112,-1.59723854616349,-1.24690697674418,"Junior","Utility"
"183",4,"Tom Benz","Sr.","UTL.",34,111,20,36,6,0,2,11,13,"18",4,0,".324",0.392,0.432,4,"Sr.","UTL.",34,0,1,5,48,8,"3","33","28","1.18",130,"Williams",0,0.824,0.169764,-18.7679689922481,0.5712,-1.03768230979901,6.99335100775194,"Senior","Utility"
"184",15,"Alex Panstares","Sr.","C",31,106,14,22,5,1,1,12,5,"23",2,0,".208",0.28,0.302,15,"Sr.","C",31,6,1,1,32,7,"-","24","34","0.71",119,"Williams",15,0.582,0.268057627118644,-8.11251346734989,-0.0576,-0.314629251548145,18.0985475495993,"Senior","Catcher"
"185",14,"Kellen Hatheway","Sr.","IF",25,94,22,36,9,3,5,19,6,"15",0,2,".383",0.448,0.702,14,"Sr.","IF",25,5,0,0,66,17,"1","10","31","0.32",105,"Williams",19,1.15,0.495114285714286,11.3232558139535,-1.328,1.01012393817017,39.8102558139535,"Senior","Infield"
"186",2,"Matt Aventuro","Fy.","OF",28,86,12,21,6,0,0,13,8,"29",2,0,".244",0.333,0.314,2,"Fy.","OF",28,4,1,1,27,6,"1","17","16","1.06",100,"Williams",0,0.647,0.165224242424242,-14.7888184167254,0.1888,-0.843314751750903,4.92552501761804,"First-Year","Outfield"
"187",7,"Ryan Young","Fy.","",27,80,12,17,2,0,0,9,7,"20",3,1,".212",0.281,0.237,7,"Fy.","",27,1,1,2,19,2,"-","24","19","1.26",91,"Williams",0,0.518,0.0930539325842697,-18.5489086316523,0.0592000000000001,-1.15691431873645,-2.0852704294051,"First-Year","Utility"
"188",28,"David Driscoll","Fy.","C",20,58,7,21,5,0,1,7,2,"7",0,2,".362",0.371,0.5,28,"Fy.","C",20,0,2,0,29,6,"-","10","22","0.45",62,"Williams",0,0.871,0.16125,-9.36007751937984,-0.8352,-0.608428956041405,2.80742248062016,"First-Year","Catcher"
"189",11,"Philip Barnett","So.","UTL.",33,54,13,14,5,0,0,11,15,"13",7,1,".259",0.438,0.352,11,"So.","UTL.",33,3,1,4,19,5,"-","9","22","0.41",77,"Williams",0,0.79,0.264361643835616,-5.46988637570351,0.6832,-0.166169139897967,11.4262341722417,"Sophomore","Utility"
"190",13,"Daniel Lynch","Fy.","IF/P",25,29,2,4,0,0,0,1,4,"7",2,0,".138",0.235,0.138,13,"Fy.","IF/P",25,0,1,0,4,0,"1","9","10","0.90",34,"Williams",0,0.373,0.0834705882352941,-7.18294573643411,0.3296,-0.428144640950657,-1.10494573643411,"First-Year","Infield"
"191",20,"Billy Shea","Fy.","P/DH",14,24,3,7,1,0,0,7,2,"7",3,0,".292",0.333,0.333,20,"Fy.","P/DH",14,0,1,0,8,1,"1","6","5","1.20",27,"Williams",0,0.666,0.100333333333333,-5.35116279069767,0.5648,-0.290895418465395,-0.422162790697673,"First-Year","Designated Hitter"
"192",27,"David Kwan","Sr.","1B",10,23,3,5,0,0,0,6,4,"6",1,0,".217",0.321,0.217,27,"Sr.","1B",10,0,1,0,5,0,"-","7","5","1.40",28,"Williams",0,0.538,0.101357142857143,-5.52713178294574,0.1296,-0.33414659053985,-0.409131782945735,"Senior","Infield"
"193",26,"Jeremy Irzyk","So.","IF",12,22,2,7,0,0,0,2,3,"1",1,0,".318",0.4,0.318,26,"So.","IF",12,0,0,1,7,0,"1","7","8","0.88",26,"Williams",0,0.718,0.08514,-5.45919379844961,0.1472,-0.332734066750221,-0.801553798449612,"Sophomore","Infield"
"194",17,"Jacob Basil","Fy.","IF",6,6,6,2,0,0,0,0,0,"1",1,0,".333",0.429,0.333,17,"Fy.","IF",6,1,0,1,2,0,"1","2","1","2.00",8,"Williams",0,0.762,0.105042857142857,-1.55632336655592,0.1824,-0.082878495500693,-0.0874090808416388,"First-Year","Infield"
"195",1,"John DiGravio","So.","UTL.",1,0,1,0,0,0,0,0,0,"-",0,0,"-",0,0,1,"So.","UTL.",1,0,0,0,0,0,"-","-","-","-",0,"Williams",0,0,NA,NA,0,NA,NA,"Sophomore","Utility"
