"","No..x","Name","Yr.x","Pos.x","g.x","ab","r","h","Doubles","Triples","hr","rbi","bb","k","sb","cs","avg","obp","slg","No..y","Yr.y","Pos.y","g.y","hbp","sf","sh","tb","xbh","hdp","go","fo","go/fo","pa","School","Singles","OPS","wOBA","wRAA","wSB","fOWar","wRC","Year","Position"
"95",11,"John Carey","'19","OF",11,7,2,1,0,0,0,0,1,"3",1,1,"0.143",0.25,0.143,11,"'19","OF",11,0,0,1,1,0,"-","2","2","1.00",9,"Hamilton",0,0.393,0.0886875,-1.86497093023256,-0.2176,-0.133425967831778,-0.245533430232558,"Senior","Outfield"
"96",21,"David Braverman","'19","3B/DH",8,6,1,0,0,0,0,0,3,"6",0,0,"0",0.333,0,21,"'19","3B/DH",8,0,0,0,0,0,"-","-","-","-",9,"Hamilton",0,0.333,0.2365,-0.833720930232558,-0.0528,-0.0439012672329759,1.08477906976744,"Senior","Infield"
"97",6,"Michael O'Hare","'21","C",5,6,0,1,0,0,0,0,0,"2",0,0,"0.167",0.167,0.167,6,"'21","C",5,0,0,0,1,0,"-","1","2","0.50",6,"Hamilton",0,0.334,0,-1.65581395348837,0,-0.108968110291046,-0.695813953488372,"Sophomore","Catcher"
"98",12,"Sam Rowley","'20","1B",2,2,1,0,0,0,0,0,0,"2",1,0,"0",0,0,12,"'20","1B",2,0,0,0,0,0,"-","-","-","-",2,"Hamilton",0,0,0,-0.551937984496124,0.2,-0.0213526435501091,-0.231937984496124,"Junior","Infield"
"99",2,"Chris Keane","'20","P",10,1,1,1,0,0,0,0,0,"-",0,0,"1",1,1,2,"'20","P",10,0,0,0,1,0,"-","-","-","-",1,"Hamilton",0,2,0,-0.275968992248062,0,-0.0181613517151743,-0.115968992248062,"Junior","Designated Hitter"
"100",6,"Justin Han","Jr","IF",39,138,33,45,9,2,0,30,20,"13",28,3,"0.326",0.435,0.42,6,"Jr","IF",39,9,3,1,58,11,"1","26","55","0.47",171,"Middlebury",0,0.855,0.208904117647059,-19.498756497948,3.8896,-0.741703330684732,15.8919064432285,"Junior","Infield"
"101",14,"Henry Strmecki","So","OF",38,129,39,44,3,3,6,28,17,"31",23,0,"0.341",0.443,0.55,14,"So","OF",38,9,3,0,71,12,"2","23","28","0.82",158,"Middlebury",32,0.993,0.435824050632911,9.7768992248062,3.5792,1.39391960265515,50.5370992248062,"Sophomore","Outfield"
"102",12,"Brooks Carroll","Jr","IF",37,126,27,41,6,2,1,29,25,"39",21,4,"0.325",0.446,0.429,12,"Jr","IF",37,4,2,4,54,9,"-","14","36","0.39",161,"Middlebury",32,0.875,0.398338853503185,5.28415148373081,1.5264,0.911468424430949,45.4615476620748,"Junior","Infield"
"103",11,"Hayden Smith","Jr","IF",35,123,32,34,6,3,0,27,19,"17",13,2,"0.276",0.386,0.374,11,"Jr","IF",35,6,5,3,46,9,"1","31","44","0.70",156,"Middlebury",0,0.76,0.19788431372549,-19.1209667122663,1.36,-0.940192119181609,12.7787901504788,"Junior","Infield"
"104",30,"Sam Graf","Sr","OF",38,115,30,35,8,2,1,26,23,"22",19,1,"0.304",0.452,0.435,30,"Sr","OF",38,13,6,1,50,11,"1","11","50","0.22",158,"Middlebury",24,0.887,0.401871974522293,5.61842788722659,2.344,0.990201688165663,45.1726711993285,"Senior","Outfield"
